ObjectID,Election,County,HASNO,Site Name,Site Address,Zip,New,ED,Latitude,Longitude,x,y
361,General Election 2024 - 11/05/2024,Brooklyn,B0304,PS 127,7805 7th Avenue,11228,,"005/46, 026/46",40.62379131,-74.01870701,582996.3318,4497458.4689
362,General Election 2024 - 11/05/2024,Brooklyn,B0349,PS 128,2075 84th Street,11214,,"013/47, 014/47, 015/47, 016/47, 033/47, 034/47",40.60483796,-73.99527003,585002.6478,4495376.9287
363,General Election 2024 - 11/05/2024,Brooklyn,B0277,PS 13,557 Pennsylvania Avenue,11207,,"031/60, 054/60",40.66364197,-73.89354732,593526.6986,4502007.7097
364,General Election 2024 - 11/05/2024,Brooklyn,B0305,PS 130,70 Ocean Parkway,11218,,039/44,40.64895911,-73.97584801,586588.8162,4500293.5351
365,General Election 2024 - 11/05/2024,Brooklyn,B0243,PS 131,4305 Ft Hamilton Parkway,11219,,"005/48, 006/48, 009/48, 052/48",40.64083833,-73.99341492,585113.883,4499374.9377
366,General Election 2024 - 11/05/2024,Brooklyn,B0189,PS 132,320 Manhattan Avenue,11211,,"058/50, 059/50, 060/50",40.71474639,-73.94599346,589025.3858,4507626.1541
367,General Election 2024 - 11/05/2024,Brooklyn,B0216,PS 133,610 Baltic Street,11217,,"062/52, 071/52, 072/52, 073/52, 074/52, 086/52",40.68030119,-73.98047185,586157.5335,4503768.1423
368,General Election 2024 - 11/05/2024,Brooklyn,B0227,PS 134,4001 18th Avenue,11218,,"053/44, 080/44 (Combined into 053/44)",40.63235749,-73.97327463,586827.9025,4498453.2044
369,General Election 2024 - 11/05/2024,Brooklyn,B0303,PS 135,684 Linden Boulevard,11203,,"001/58, 002/58, 003/58, 004/58, 007/58",40.65341831,-73.93297715,590207.4696,4500831.6249
370,General Election 2024 - 11/05/2024,Brooklyn,B0228,PS 136 JHS,4004 4th Avenue,11232,,020/51,40.65192914,-74.0072689,583928.5162,4500592.7616
371,General Election 2024 - 11/05/2024,Brooklyn,B0331,PS 138,760 Prospect Place,11216,,"001/43, 002/43, 003/43, 010/43",40.67423718,-73.9513226,588628.9292,4503123.9844
372,General Election 2024 - 11/05/2024,Brooklyn,B0294,PS 142 JHS,610 Henry Street,11231,,"029/51, 043/52, 044/52, 048/52, 051/52, 052/52",40.67975675,-74.00165356,584368.1838,4503687.1572
373,General Election 2024 - 11/05/2024,Brooklyn,B0312,PS 15 New,71 Sullivan Street,11231,,"032/51, 033/51, 034/51, 035/51, 057/51 (Combined into 035/51), 100/61, 101/61 (Combined into 100/61), 112/61 (Combined into 100/61)",40.67711028,-74.01144534,583543.9926,4503384.0307
374,General Election 2024 - 11/05/2024,Brooklyn,B0211,PS 150,364 Sackman Street,11212,,"022/55, 037/55",40.66852427,-73.90473391,592574.3441,4502537.8345
375,General Election 2024 - 11/05/2024,Brooklyn,B0333,PS 151,763 Knickerbocker Avenue,11207,,"049/54, 050/54, 059/54",40.69330254,-73.9083623,592233.4946,4505284.5666
376,General Election 2024 - 11/05/2024,Brooklyn,B0131,PS 152/PS 315,725 East 23 Street,11210,,"023/42, 041/42, 042/42, 050/42",40.63270883,-73.95456984,588409.2889,4498510.8344
377,General Election 2024 - 11/05/2024,Brooklyn,B0106,PS 153,1970 Homecrest Avenue,11229,,"026/45, 029/45, 038/45",40.60118365,-73.95989944,587999.9303,4495006.0412
378,General Election 2024 - 11/05/2024,Brooklyn,B0055,PS 155,1355 Herkimer Street,11233,,"011/55, 014/55, 015/55",40.67753178,-73.90865155,592230.7956,4503533.607
379,General Election 2024 - 11/05/2024,Brooklyn,10967,PS 156 IS,104 Sutter Avenue,11212,,"045/55, 046/55, 048/55, 049/55, 050/55",40.66584297,-73.91823943,591436.4684,4502226.059
380,General Election 2024 - 11/05/2024,Brooklyn,B0354,PS 157,850 Kent Avenue,11205,,"012/57, 013/57, 071/57",40.69527566,-73.95965971,587896.6601,4505451.0128
381,General Election 2024 - 11/05/2024,Brooklyn,B0223,PS 158,400 Ashford Street,11207,,"005/54, 006/54, 013/54, 014/54, 062/54, 053/60",40.67256132,-73.88492556,594242.9376,4503007.0212
382,General Election 2024 - 11/05/2024,Brooklyn,B0266,PS 160,5105 Fort Hamilton Parkway,11219,,"004/48, 001/49 (Combined into 002/49), 002/49, 007/49, 051/49",40.63699817,-73.99913042,584635.4392,4498943.1451
383,General Election 2024 - 11/05/2024,Brooklyn,B0177,PS 161,330 Crown Street,11225,,"020/43, 021/43, 022/43, 029/43",40.66603814,-73.94921485,588817.9485,4502215.969
384,General Election 2024 - 11/05/2024,Brooklyn,B0086,PS 163,109 Bay 14th Street,11214,,"005/47, 006/47, 007/47, 058/47",40.60671068,-74.00794449,583927.9972,4495572.647
385,General Election 2024 - 11/05/2024,Brooklyn,B0235,PS 164,4211 14th Avenue,11219,,"049/44, 011/48, 055/48",40.63722657,-73.98596719,585748.2729,4498981.2472
386,General Election 2024 - 11/05/2024,Brooklyn,B0018,PS 167,1025 Eastern Parkway,11213,,"016/43, 017/43, 023/43, 053/55",40.66935727,-73.93431663,590072.7804,4502599.5706
387,General Election 2024 - 11/05/2024,Brooklyn,B0242,PS 169,4305 7th Avenue,11232,,"043/51, 044/51, 045/51, 046/51",40.64603046,-74.00193424,584386.9629,4499943.0816
388,General Election 2024 - 11/05/2024,Brooklyn,B0113,PS 17,208 North 5th Street,11211,,"024/50, 025/50, 028/50, 054/50, 065/50, 066/50 (Combined into 054/50)",40.71536153,-73.95696767,588097.6364,4507683.3722
389,General Election 2024 - 11/05/2024,Brooklyn,B0314,PS 170,619 72nd Street,11209,,"003/46, 004/46, 029/46, 078/64, 079/64, 087/64",40.63019368,-74.01884868,582976.4248,4498169.0289
390,General Election 2024 - 11/05/2024,Brooklyn,10327,PS 172,825 4 Avenue,11232,,"022/51, 023/51",40.65781188,-74.00041655,584500.421,4501252.3406
391,General Election 2024 - 11/05/2024,Brooklyn,B0042,PS 176,1225 Bay Ridge Avenue,11219,,"038/49, 039/49",40.62470194,-74.00523605,584134.5615,4497572.346
392,General Election 2024 - 11/05/2024,Brooklyn,B0382,PS 177,346 Avenue P,11204,,"007/45, 011/45, 012/45, 021/47, 022/47, 047/47, 048/47",40.60845605,-73.97449686,586755.4594,4495798.8214
